*.ecl	ECLiPSe
*.eclass	Gentoo Eclass
*.eclxml	ECL
*.ecr	HTML+ECR
*.ect	EJS
*.edc	Edje Data Collection
*.edge	Edge
*.edgeql	EdgeQL
*.editorconfig	EditorConfig
*.edn	edn
*.eh	eC
*.ejs	EJS
*.ejs.t	EJS
*.el	Emacs Lisp
*.eliom	OCaml
*.eliomi	OCaml
*.elm	Elm
*.elv	Elvish
*.em	EmberScript
*.emacs	Emacs Lisp
*.emacs.desktop	Emacs Lisp
*.emberscript	EmberScript
*.eml	E-mail
*.env	Dotenv
*.epj	Ecere Projects
*.eps	PostScript
*.epsi	PostScript
*.eq	EQ
*.erb	HTML+ERB
*.erb.deface	HTML+ERB
*.erl	Erlang
*.es	Erlang
*.es	JavaScript
*.es6	JavaScript
*.escript	Erlang
*.esdl	EdgeQL
*.ets	ArkTS
*.ex	Elixir
*.ex	Euphoria
*.exs	Elixir
*.eye	Ruby
*.f	Filebench WML
*.f	Forth
*.f	Fortran
*.f03	Fortran Free Form
*.f08	Fortran Free Form
*.f77	Fortran
*.f90	Fortran Free Form
*.f95	Fortran Free Form
*.factor	Factor
*.fan	Fantom
*.fancypack	Fancy
*.fcgi	Lua
*.fcgi	Perl
*.fcgi	PHP
*.fcgi	Python
*.fcgi	Ruby
*.fcgi	Shell
*.fea	OpenType Feature File
*.feature	Gherkin
*.filters	XML
*.fir	FIRRTL
*.fish	fish
*.flex	JFlex
*.flf	FIGlet Font
*.flix	Flix
*.flux	FLUX
*.fnc	PLSQL
*.fnl	Fennel
*.for	Formatted
*.for	Forth
*.for	Fortran
*.forth	Forth
*.fp	GLSL
*.fpp	Fortran
*.fr	Forth
*.fr	Frege
*.fr	Text
*.frag	GLSL
*.frag	JavaScript
*.frg	GLSL
*.frm	INI
*.frm	VBA
*.frm	Visual Basic 6.0
*.frt	Forth
*.fs	F#
*.fs	Filterscript
*.fs	Forth
*.fs	GLSL
*.fsh	GLSL
*.fshader	GLSL
*.fsi	F#
*.fsproj	XML
*.fst	F*
*.fsti	F*
*.fsx	F#
*.fth	Forth
*.ftl	Fluent
*.ftl	FreeMarker
*.ftlh	FreeMarker
*.fun	Standard ML
*.fut	Futhark
*.fx	FLUX
